fecha,Embalse,Buffer,Estado,Cmax,Cmean,Cmean2,Cmin,Cmin2,Medicion
2017-06-01,Acebo,17,Mesotrophic,5.142930507659912,0.9670753479003906,0.9670753479003906,0.0,0.0,
2017-06-01,Acebo,18,Mesotrophic,5.142930507659912,0.9725456833839417,0.9725456833839417,0.0,0.0,
2017-06-01,Acebo,19,Mesotrophic,5.142930507659912,0.9380678534507751,0.9380678534507751,0.0,0.0,
2017-06-01,Acebo,20,Mesotrophic,5.142930507659912,0.9229190945625305,0.9229190945625305,0.0,0.0,
2017-06-01,Aguijon,,Hypertrophic,,,,,,
2017-06-01,Alcuescar,,Hypertrophic,,,,,,
2017-06-01,Aldea del Cano,,Hypertrophic,,,,,,
2017-06-01,Aliseda,,Eutrophic,,,,,,
2017-06-01,Alpotrel,,Eutrophic,,,,,,
2017-06-01,Arrocerezal,,Eutrophic,,,,,,
2017-06-01,Brozas,,Hypertrophic,,,,,,
2017-06-01,Burguillos del Cerro,,Hypertrophic,,,,,,
2017-06-01,Cantalgallo,,Eutrophic,,,,,,
2017-06-01,Carrascalejo,,Eutrophic,,,,,,
2017-06-01,El Santo,,Hypertrophic,,,,,,
2017-06-01,Garciaz,,Eutrophic,,,,,,
2017-06-01,Garganta del Obispo,,Hypertrophic,,,,,,
2017-06-01,Guadalupe,,Eutrophic,,,,,,
2017-06-01,Hervas,,Eutrophic,,,,,,
2017-06-01,Jaime Ozores,,Hypertrophic,,,,,,18.0
2017-06-01,Jaime Ozores,1,Hypertrophic,20.784957885742188,20.784957885742188,,20.784957885742188,,
2017-06-01,Jaime Ozores,2,Hypertrophic,20.88684844970703,17.98332405090332,19.103891372680664,14.621621131896973,15.639866828918457,
2017-06-01,Jaime Ozores,3,Hypertrophic,21.097360610961914,16.564388275146484,18.33536148071289,2.3966031074523926,14.621621131896973,
2017-06-01,Jaime Ozores,4,Hypertrophic,22.878570556640625,16.756406784057617,18.559207916259766,2.3966031074523926,13.292939186096191,
2017-06-01,Jaime Ozores,5,Hypertrophic,22.878570556640625,15.344659805297852,17.899343490600586,2.3966031074523926,13.292939186096191,
2017-06-01,Jaime Ozores,6,Hypertrophic,22.878570556640625,15.14583969116211,17.532718658447266,2.3966031074523926,10.022430419921875,
2017-06-01,Jaime Ozores,7,Hypertrophic,22.878570556640625,13.23560905456543,16.832237243652344,0.0,6.10862398147583,
2017-06-01,Jaime Ozores,8,Hypertrophic,24.721939086914062,13.295924186706543,16.555038452148438,0.0,5.877014636993408,
2017-06-01,Jaime Ozores,9,Hypertrophic,24.721939086914062,12.804093360900879,16.30866050720215,0.0,5.469130992889404,
2017-06-01,Jaime Ozores,10,Hypertrophic,25.03264808654785,11.972428321838379,15.85594367980957,0.0,4.348249435424805,
2017-06-01,Jaime Ozores,11,Hypertrophic,25.03264808654785,11.365802764892578,15.933419227600098,0.0,3.0636537075042725,
2017-06-01,Jaime Ozores,12,Hypertrophic,25.03264808654785,10.981512069702148,15.807160377502441,0.0,1.9765106439590454,
2017-06-01,Jaime Ozores,13,Hypertrophic,25.03264808654785,10.824053764343262,16.181245803833008,0.0,1.9765106439590454,
2017-06-01,Jaime Ozores,14,Hypertrophic,25.03264808654785,10.299773216247559,16.400148391723633,0.0,1.9765106439590454,
2017-06-01,Jaime Ozores,15,Hypertrophic,25.03264808654785,10.027532577514648,16.34330177307129,0.0,0.7182528376579285,
2017-06-01,Jaime Ozores,16,Hypertrophic,25.03264808654785,9.646354675292969,9.646354675292969,0.0,0.0,
2017-06-01,Jaime Ozores,17,Hypertrophic,25.03264808654785,8.953548431396484,8.953548431396484,0.0,0.0,
2017-06-01,Jaime Ozores,18,Hypertrophic,25.03264808654785,8.659149169921875,8.659149169921875,0.0,0.0,
2017-06-01,Jaime Ozores,19,Hypertrophic,25.03264808654785,8.156211853027344,8.156211853027344,0.0,0.0,
2017-06-01,Jaime Ozores,20,Hypertrophic,25.03264808654785,7.770822525024414,7.770822525024414,0.0,0.0,
2017-06-01,Llerena,,Hypertrophic,,,,,,
2017-06-01,Los Angeles,,Hypertrophic,,,,,,
2017-06-01,Los Huertos,,Hypertrophic,,,,,,
2017-06-01,Madronnera,,Eutrophic,,,,,,
2017-06-01,Majadillas,,Eutrophic,,,,,,
2017-06-01,Majarrobledo,,Mesotrophic,,,,,,
2017-06-01,Membrio,,Hypertrophic,,,,,,
2017-06-01,Navarredonda,,Hypertrophic,,,,,,
