,Embalse,Tipo,Año,Estación,Concentración
151,Garciaz,Medicion,2020,o,5.53
152,Garciaz,Medicion,2021,v,
153,Garciaz,Medicion,2021,o,4.33
154,Garciaz,Medicion,2022,v,
155,Garciaz,Medicion,2022,o,16.42
156,Garganta del Obispo,Medicion,2017,v,
157,Garganta del Obispo,Medicion,2017,o,
158,Garganta del Obispo,Medicion,2018,v,
159,Garganta del Obispo,Medicion,2018,o,
160,Garganta del Obispo,Medicion,2019,v,
161,Garganta del Obispo,Medicion,2019,o,
162,Garganta del Obispo,Medicion,2020,v,
163,Garganta del Obispo,Medicion,2020,o,0.97
164,Garganta del Obispo,Medicion,2021,v,
165,Garganta del Obispo,Medicion,2021,o,1.9
166,Garganta del Obispo,Medicion,2022,v,
167,Garganta del Obispo,Medicion,2022,o,85.33
168,Guadalupe,Medicion,2017,v,
169,Guadalupe,Medicion,2017,o,
170,Guadalupe,Medicion,2018,v,
171,Guadalupe,Medicion,2018,o,
172,Guadalupe,Medicion,2019,v,
173,Guadalupe,Medicion,2019,o,
174,Guadalupe,Medicion,2020,v,
175,Guadalupe,Medicion,2020,o,7.29
176,Guadalupe,Medicion,2021,v,
177,Guadalupe,Medicion,2021,o,7.6
178,Guadalupe,Medicion,2022,v,
179,Guadalupe,Medicion,2022,o,17.09
180,Hervas,Medicion,2017,v,
181,Hervas,Medicion,2017,o,
182,Hervas,Medicion,2018,v,
183,Hervas,Medicion,2018,o,
184,Hervas,Medicion,2019,v,
185,Hervas,Medicion,2019,o,
186,Hervas,Medicion,2020,v,
187,Hervas,Medicion,2020,o,8.42
188,Hervas,Medicion,2021,v,
189,Hervas,Medicion,2021,o,12.93
190,Hervas,Medicion,2022,v,
191,Hervas,Medicion,2022,o,19.42
192,Jaime Ozores,Medicion,2017,v,18.0
193,Jaime Ozores,Medicion,2017,o,74.0
194,Jaime Ozores,Medicion,2018,v,14.0
195,Jaime Ozores,Medicion,2018,o,39.0
196,Jaime Ozores,Medicion,2019,v,14.56
197,Jaime Ozores,Medicion,2019,o,200.0
198,Jaime Ozores,Medicion,2020,v,
199,Jaime Ozores,Medicion,2020,o,35.68
200,Jaime Ozores,Medicion,2021,v,43.74
201,Jaime Ozores,Medicion,2021,o,7.28
202,Jaime Ozores,Medicion,2022,v,199.83
203,Jaime Ozores,Medicion,2022,o,211.82
204,la Pesga,Medicion,2017,v,
205,la Pesga,Medicion,2017,o,
206,la Pesga,Medicion,2018,v,
207,la Pesga,Medicion,2018,o,
208,la Pesga,Medicion,2019,v,
209,la Pesga,Medicion,2019,o,
210,la Pesga,Medicion,2020,v,
211,la Pesga,Medicion,2020,o,6.24
212,la Pesga,Medicion,2021,v,
213,la Pesga,Medicion,2021,o,33.45
214,la Pesga,Medicion,2022,v,
215,la Pesga,Medicion,2022,o,20.13
216,Llerena,Medicion,2017,v,
217,Llerena,Medicion,2017,o,
218,Llerena,Medicion,2018,v,
219,Llerena,Medicion,2018,o,
220,Llerena,Medicion,2019,v,
221,Llerena,Medicion,2019,o,
222,Llerena,Medicion,2020,v,
223,Llerena,Medicion,2020,o,44.85
224,Llerena,Medicion,2021,v,
225,Llerena,Medicion,2021,o,38.37
226,Llerena,Medicion,2022,v,30.43
227,Llerena,Medicion,2022,o,147.12
228,Los Angeles,Medicion,2017,v,
229,Los Angeles,Medicion,2017,o,
230,Los Angeles,Medicion,2018,v,
231,Los Angeles,Medicion,2018,o,
232,Los Angeles,Medicion,2019,v,
233,Los Angeles,Medicion,2019,o,
234,Los Angeles,Medicion,2020,v,
235,Los Angeles,Medicion,2020,o,3.99
236,Los Angeles,Medicion,2021,v,
237,Los Angeles,Medicion,2021,o,41.63
238,Los Angeles,Medicion,2022,v,
239,Los Angeles,Medicion,2022,o,45.73
240,Los Huertos,Medicion,2017,v,
241,Los Huertos,Medicion,2017,o,
242,Los Huertos,Medicion,2018,v,
243,Los Huertos,Medicion,2018,o,
244,Los Huertos,Medicion,2019,v,
245,Los Huertos,Medicion,2019,o,
246,Los Huertos,Medicion,2020,v,
247,Los Huertos,Medicion,2020,o,32.54
248,Los Huertos,Medicion,2021,v,
249,Los Huertos,Medicion,2021,o,26.69
250,Los Huertos,Medicion,2022,v,63.4
251,Los Huertos,Medicion,2022,o,70.55
252,Madronnera,Medicion,2017,v,
253,Madronnera,Medicion,2017,o,
254,Madronnera,Medicion,2018,v,
255,Madronnera,Medicion,2018,o,
256,Madronnera,Medicion,2019,v,
257,Madronnera,Medicion,2019,o,
258,Madronnera,Medicion,2020,v,
259,Madronnera,Medicion,2020,o,19.76
260,Madronnera,Medicion,2021,v,3.57
261,Madronnera,Medicion,2021,o,13.12
262,Madronnera,Medicion,2022,v,6.67
263,Madronnera,Medicion,2022,o,38.93
264,Majadillas,Medicion,2017,v,
265,Majadillas,Medicion,2017,o,
