,fecha,Embalse,Buffer,Estado,Cmax,Cmean,Cmean2,Cmin,Cmin2,Medicion,epsilon_Cmax,epsilon_Cmean2,epsilon_Cmean,epsilon_Cmin,epsilon_Cmin2
1,2017-06-01,Acebo,1.0,Mesotrophic,0.0002875826903618872,0.0002875826903618872,,0.0002875826903618872,,3.0,-0.9999041391032127,,-0.9999041391032127,-0.9999041391032127,
2,2017-06-01,Acebo,2.0,Mesotrophic,1.5013408660888672,0.49386751651763916,0.49386751651763916,0.0002875826903618872,0.0002875826903618872,3.0,-0.49955304463704425,-0.8353774944941202,-0.8353774944941202,-0.9999041391032127,-0.9999041391032127
3,2017-06-01,Acebo,3.0,Mesotrophic,1.5013408660888672,0.4957921802997589,0.4957921802997589,0.0002875826903618872,0.0002875826903618872,3.0,-0.49955304463704425,-0.8347359399000803,-0.8347359399000803,-0.9999041391032127,-0.9999041391032127
4,2017-06-01,Acebo,4.0,Mesotrophic,3.8266525268554688,0.7568492889404297,0.7568492889404297,0.0,0.0,3.0,0.27555084228515625,-0.7477169036865234,-0.7477169036865234,-1.0,-1.0
5,2017-06-01,Acebo,5.0,Mesotrophic,3.970771551132202,0.9461774230003357,0.9461774230003357,0.0,0.0,3.0,0.3235905170440674,-0.6846075256665548,-0.6846075256665548,-1.0,-1.0
6,2017-06-01,Acebo,6.0,Mesotrophic,3.970771551132202,0.9412100911140442,0.9412100911140442,0.0,0.0,3.0,0.3235905170440674,-0.6862633029619852,-0.6862633029619852,-1.0,-1.0
7,2017-06-01,Acebo,7.0,Mesotrophic,3.970771551132202,1.0219146013259888,1.0219146013259888,0.0,0.0,3.0,0.3235905170440674,-0.6593617995580038,-0.6593617995580038,-1.0,-1.0
8,2017-06-01,Acebo,8.0,Mesotrophic,3.98350191116333,0.9840084314346313,0.9840084314346313,0.0,0.0,3.0,0.3278339703877767,-0.6719971895217896,-0.6719971895217896,-1.0,-1.0
9,2017-06-01,Acebo,9.0,Mesotrophic,4.012206077575684,1.0700169801712036,1.0700169801712036,0.0,0.0,3.0,0.3374020258585612,-0.6433276732762655,-0.6433276732762655,-1.0,-1.0
10,2017-06-01,Acebo,10.0,Mesotrophic,4.012206077575684,1.1225038766860962,1.1225038766860962,0.0,0.0,3.0,0.3374020258585612,-0.6258320411046346,-0.6258320411046346,-1.0,-1.0
11,2017-06-01,Acebo,11.0,Mesotrophic,4.012206077575684,1.0665565729141235,1.0665565729141235,0.0,0.0,3.0,0.3374020258585612,-0.6444811423619589,-0.6444811423619589,-1.0,-1.0
12,2017-06-01,Acebo,12.0,Mesotrophic,4.0720086097717285,1.0635912418365479,1.0635912418365479,0.0,0.0,3.0,0.35733620325724286,-0.645469586054484,-0.645469586054484,-1.0,-1.0
13,2017-06-01,Acebo,13.0,Mesotrophic,4.273157596588135,1.0862208604812622,1.0862208604812622,0.0,0.0,3.0,0.42438586552937824,-0.6379263798395792,-0.6379263798395792,-1.0,-1.0
14,2017-06-01,Acebo,14.0,Mesotrophic,4.510219097137451,1.0664557218551636,1.0664557218551636,0.0,0.0,3.0,0.5034063657124838,-0.6445147593816122,-0.6445147593816122,-1.0,-1.0
15,2017-06-01,Acebo,15.0,Mesotrophic,4.510219097137451,1.0516817569732666,1.0516817569732666,0.0,0.0,3.0,0.5034063657124838,-0.6494394143422445,-0.6494394143422445,-1.0,-1.0
16,2017-06-01,Acebo,16.0,Mesotrophic,5.142930507659912,1.0548731088638306,1.0548731088638306,0.0,0.0,3.0,0.7143101692199707,-0.6483756303787231,-0.6483756303787231,-1.0,-1.0
17,2017-06-01,Acebo,17.0,Mesotrophic,5.142930507659912,0.9670753479003906,0.9670753479003906,0.0,0.0,3.0,0.7143101692199707,-0.6776415506998698,-0.6776415506998698,-1.0,-1.0
18,2017-06-01,Acebo,18.0,Mesotrophic,5.142930507659912,0.9725456833839417,0.9725456833839417,0.0,0.0,3.0,0.7143101692199707,-0.6758181055386862,-0.6758181055386862,-1.0,-1.0
19,2017-06-01,Acebo,19.0,Mesotrophic,5.142930507659912,0.9380678534507751,0.9380678534507751,0.0,0.0,3.0,0.7143101692199707,-0.6873107155164083,-0.6873107155164083,-1.0,-1.0
20,2017-06-01,Acebo,20.0,Mesotrophic,5.142930507659912,0.9229190945625305,0.9229190945625305,0.0,0.0,3.0,0.7143101692199707,-0.6923603018124899,-0.6923603018124899,-1.0,-1.0
37,2017-06-01,Jaime Ozores,1.0,Hypertrophic,20.784957885742188,20.784957885742188,,20.784957885742188,,18.0,0.15471988254123265,,0.15471988254123265,0.15471988254123265,
38,2017-06-01,Jaime Ozores,2.0,Hypertrophic,20.88684844970703,17.98332405090332,19.103891372680664,14.621621131896973,15.639866828918457,18.0,0.16038046942816842,0.06132729848225912,-0.0009264416164822049,-0.18768771489461264,-0.13111850950453016
39,2017-06-01,Jaime Ozores,3.0,Hypertrophic,21.097360610961914,16.564388275146484,18.33536148071289,2.3966031074523926,14.621621131896973,18.0,0.17207558949788412,0.01863119337293837,-0.07975620693630642,-0.8668553829193115,-0.18768771489461264
40,2017-06-01,Jaime Ozores,4.0,Hypertrophic,22.878570556640625,16.756406784057617,18.559207916259766,2.3966031074523926,13.292939186096191,18.0,0.2710316975911458,0.03106710645887587,-0.06908851199679905,-0.8668553829193115,-0.2615033785502116
