fecha,Embalse,Estado,Cmax,Cmea2,Cmean,Cmin,Cmin2,Medicion
2018-06-01,Tres Torres,Hypertrophic,,,,,,
2018-06-01,la Pesga,Eutrophic,,,,,,
2018-11-01,Acebo,Mesotrophic,,,,,,
2018-11-01,Aguijon,Hypertrophic,,,,,,
2018-11-01,Alcuescar,Hypertrophic,,,,,,
2018-11-01,Aldea del Cano,Hypertrophic,,,,,,
2018-11-01,Aliseda,Eutrophic,,,,,,
2018-11-01,Alpotrel,Eutrophic,,,,,,
2018-11-01,Arrocerezal,Eutrophic,,,,,,
2018-11-01,Brozas,Hypertrophic,,,,,,
2018-11-01,Burguillos del Cerro,Hypertrophic,,,,,,
2018-11-01,Cantalgallo,Eutrophic,,,,,,
2018-11-01,Carrascalejo,Eutrophic,,,,,,
2018-11-01,El Santo,Hypertrophic,,,,,,
2018-11-01,Garciaz,Eutrophic,,,,,,
2018-11-01,Garganta del Obispo,Hypertrophic,,,,,,
2018-11-01,Guadalupe,Eutrophic,,,,,,
2018-11-01,Hervas,Eutrophic,,,,,,
2018-11-01,Jaime Ozores,Hypertrophic,0.5893157124519348,0.08586521446704865,0.08586521446704865,0.0007103070383891463,0.0007103070383891463,39.0
2018-11-01,Llerena,Hypertrophic,,,,,,
2018-11-01,Los Angeles,Hypertrophic,,,,,,
2018-11-01,Los Huertos,Hypertrophic,,,,,,
2018-11-01,Madronnera,Eutrophic,,,,,,
2018-11-01,Majadillas,Eutrophic,,,,,,
2018-11-01,Majarrobledo,Mesotrophic,,,,,,
2018-11-01,Membrio,Hypertrophic,,,,,,
2018-11-01,Navarredonda,Hypertrophic,,,,,,
2018-11-01,Navas del Madronno,Hypertrophic,,,,,,
2018-11-01,Nogales,Hypertrophic,,,,,,
2018-11-01,Palomero,Eutrophic,,,,,,
2018-11-01,Pretura del Molino,Mesotrophic,,,,,,
2018-11-01,Ribera del Castanno,Eutrophic,,,,,,
2018-11-01,Rubiales,Hypertrophic,,,,,,
2018-11-01,San Marcos,Eutrophic,,,,,,
2018-11-01,Santa Lucia,Eutrophic,,,,,,
2018-11-01,Talavan,Hypertrophic,49.253761291503906,30.154998779296875,24.045591354370117,0.0,20.41471290588379,32.0
2018-11-01,Tres Torres,Hypertrophic,,,,,,
2018-11-01,la Pesga,Eutrophic,,,,,,
2019-06-01,Acebo,Mesotrophic,,,,,,
2019-06-01,Aguijon,Hypertrophic,,,,,,
2019-06-01,Alcuescar,Hypertrophic,,,,,,
2019-06-01,Aldea del Cano,Hypertrophic,,,,,,
2019-06-01,Aliseda,Eutrophic,,,,,,
2019-06-01,Alpotrel,Eutrophic,,,,,,
2019-06-01,Arrocerezal,Eutrophic,,,,,,
2019-06-01,Brozas,Hypertrophic,,,,,,
2019-06-01,Burguillos del Cerro,Hypertrophic,,,,,,
2019-06-01,Cantalgallo,Eutrophic,,,,,,
2019-06-01,Carrascalejo,Eutrophic,,,,,,
2019-06-01,El Santo,Hypertrophic,,,,,,
2019-06-01,Garciaz,Eutrophic,,,,,,
2019-06-01,Garganta del Obispo,Hypertrophic,,,,,,
2019-06-01,Guadalupe,Eutrophic,,,,,,
2019-06-01,Hervas,Eutrophic,,,,,,
2019-06-01,Jaime Ozores,Hypertrophic,11.944133758544922,7.074441909790039,5.676584720611572,0.0,2.4009652137756348,14.56
2019-06-01,Llerena,Hypertrophic,,,,,,
2019-06-01,Los Angeles,Hypertrophic,,,,,,
2019-06-01,Los Huertos,Hypertrophic,,,,,,
2019-06-01,Madronnera,Eutrophic,,,,,,
2019-06-01,Majadillas,Eutrophic,,,,,,
2019-06-01,Majarrobledo,Mesotrophic,,,,,,
2019-06-01,Membrio,Hypertrophic,,,,,,
2019-06-01,Navarredonda,Hypertrophic,,,,,,
2019-06-01,Navas del Madronno,Hypertrophic,,,,,,
2019-06-01,Nogales,Hypertrophic,,,,,,
2019-06-01,Palomero,Eutrophic,,,,,,
2019-06-01,Pretura del Molino,Mesotrophic,,,,,,
2019-06-01,Ribera del Castanno,Eutrophic,,,,,,
2019-06-01,Rubiales,Hypertrophic,,,,,,
2019-06-01,San Marcos,Eutrophic,,,,,,
2019-06-01,Santa Lucia,Eutrophic,,,,,,
